city;measurement;type;kind;radar;not_comply
Aleksandrów;1;Jednoślady;fotoradar;FALSE;93
Boćki;1;Jednoślady;fotoradar;FALSE;10
Bratian;1;Jednoślady;fotoradar;FALSE;18
Cielcza;1;Jednoślady;fotoradar;FALSE;20
Czerwińsk nad Wisłą;1;Jednoślady;fotoradar;FALSE;41
Domaradz;1;Jednoślady;fotoradar;FALSE;19
Egiertowo;1;Jednoślady;fotoradar;FALSE;16
Gniechowice;1;Jednoślady;fotoradar;FALSE;26
Jedlińsk;1;Jednoślady;fotoradar;FALSE;2
Kleczanów;1;Jednoślady;fotoradar;FALSE;33
Kozienice;1;Jednoślady;fotoradar;FALSE;0
Kraczkowa;1;Jednoślady;fotoradar;FALSE;36
Libidza;1;Jednoślady;fotoradar;FALSE;50
Lubień;1;Jednoślady;fotoradar;FALSE;81
Lubliniec;1;Jednoślady;fotoradar;FALSE;50
Łąck;1;Jednoślady;fotoradar;FALSE;69
Łuszczów Pierwszy;1;Jednoślady;fotoradar;FALSE;30
Małkowo;1;Jednoślady;fotoradar;FALSE;47
Mniów;1;Jednoślady;fotoradar;FALSE;42
Mokrzeszów;1;Jednoślady;fotoradar;FALSE;38
Nowa Wieś;1;Jednoślady;fotoradar;FALSE;24
Nowy Targ;1;Jednoślady;fotoradar;FALSE;45
Ojrzeń;1;Jednoślady;fotoradar;FALSE;1
Opatów;1;Jednoślady;fotoradar;FALSE;26
Ostrów Wielkopolski;1;Jednoślady;fotoradar;FALSE;9
Ostrówek;1;Jednoślady;fotoradar;FALSE;36
Ożarów;1;Jednoślady;fotoradar;FALSE;27
Pawłowice;1;Jednoślady;fotoradar;FALSE;0
Polichna;1;Jednoślady;fotoradar;FALSE;47
Przasnysz;1;Jednoślady;fotoradar;FALSE;0
Przerzeczyn Zdrój;1;Jednoślady;fotoradar;FALSE;25
Przytoczno;1;Jednoślady;fotoradar;FALSE;8
Samborowo;1;Jednoślady;fotoradar;FALSE;7
Sławno;1;Jednoślady;fotoradar;FALSE;71
Słupca;1;Jednoślady;fotoradar;FALSE;66
Smolice;1;Jednoślady;fotoradar;FALSE;55
Wilczowola;1;Jednoślady;fotoradar;FALSE;5
Zbydniów;1;Jednoślady;fotoradar;FALSE;40
Żarnowo Drugie;1;Jednoślady;fotoradar;FALSE;17
Żukowo;1;Jednoślady;fotoradar;FALSE;34
Aleksandrów;1;Osobowe;fotoradar;FALSE;93
Boćki;1;Osobowe;fotoradar;FALSE;37
Bratian;1;Osobowe;fotoradar;FALSE;56
Cielcza;1;Osobowe;fotoradar;FALSE;56
Czerwińsk nad Wisłą;1;Osobowe;fotoradar;FALSE;68
Domaradz;1;Osobowe;fotoradar;FALSE;71
Egiertowo;1;Osobowe;fotoradar;FALSE;40
Gniechowice;1;Osobowe;fotoradar;FALSE;49
Jedlińsk;1;Osobowe;fotoradar;FALSE;13
Kleczanów;1;Osobowe;fotoradar;FALSE;80
Kozienice;1;Osobowe;fotoradar;FALSE;14
Kraczkowa;1;Osobowe;fotoradar;FALSE;73
Libidza;1;Osobowe;fotoradar;FALSE;71
Lubień;1;Osobowe;fotoradar;FALSE;93
Lubliniec;1;Osobowe;fotoradar;FALSE;25
Łąck;1;Osobowe;fotoradar;FALSE;72
Łuszczów Pierwszy;1;Osobowe;fotoradar;FALSE;73
Małkowo;1;Osobowe;fotoradar;FALSE;91
Mniów;1;Osobowe;fotoradar;FALSE;93
Mokrzeszów;1;Osobowe;fotoradar;FALSE;49
Nowa Wieś;1;Osobowe;fotoradar;FALSE;56
Nowy Targ;1;Osobowe;fotoradar;FALSE;82
Ojrzeń;1;Osobowe;fotoradar;FALSE;23
Opatów;1;Osobowe;fotoradar;FALSE;66
Ostrów Wielkopolski;1;Osobowe;fotoradar;FALSE;25
Ostrówek;1;Osobowe;fotoradar;FALSE;80
Ożarów;1;Osobowe;fotoradar;FALSE;73
Pawłowice;1;Osobowe;fotoradar;FALSE;20
Polichna;1;Osobowe;fotoradar;FALSE;84
Przasnysz;1;Osobowe;fotoradar;FALSE;0
Przerzeczyn Zdrój;1;Osobowe;fotoradar;FALSE;76
Przytoczno;1;Osobowe;fotoradar;FALSE;93
Samborowo;1;Osobowe;fotoradar;FALSE;16
Sławno;1;Osobowe;fotoradar;FALSE;99
Słupca;1;Osobowe;fotoradar;FALSE;83
Smolice;1;Osobowe;fotoradar;FALSE;79
Wilczowola;1;Osobowe;fotoradar;FALSE;67
Zbydniów;1;Osobowe;fotoradar;FALSE;92
Żarnowo Drugie;1;Osobowe;fotoradar;FALSE;44
Żukowo;1;Osobowe;fotoradar;FALSE;56
Aleksandrów;1;Dostawcze;fotoradar;FALSE;93
Boćki;1;Dostawcze;fotoradar;FALSE;46
Bratian;1;Dostawcze;fotoradar;FALSE;57
Cielcza;1;Dostawcze;fotoradar;FALSE;60
Czerwińsk nad Wisłą;1;Dostawcze;fotoradar;FALSE;68
Domaradz;1;Dostawcze;fotoradar;FALSE;71
Egiertowo;1;Dostawcze;fotoradar;FALSE;38
Gniechowice;1;Dostawcze;fotoradar;FALSE;45
Jedlińsk;1;Dostawcze;fotoradar;FALSE;16
Kleczanów;1;Dostawcze;fotoradar;FALSE;76
Kozienice;1;Dostawcze;fotoradar;FALSE;14
Kraczkowa;1;Dostawcze;fotoradar;FALSE;85
Libidza;1;Dostawcze;fotoradar;FALSE;68
Lubień;1;Dostawcze;fotoradar;FALSE;92
Lubliniec;1;Dostawcze;fotoradar;FALSE;29
Łąck;1;Dostawcze;fotoradar;FALSE;69
Łuszczów Pierwszy;1;Dostawcze;fotoradar;FALSE;70
Małkowo;1;Dostawcze;fotoradar;FALSE;89
Mniów;1;Dostawcze;fotoradar;FALSE;91
Mokrzeszów;1;Dostawcze;fotoradar;FALSE;45
Nowa Wieś;1;Dostawcze;fotoradar;FALSE;53
Nowy Targ;1;Dostawcze;fotoradar;FALSE;79
Ojrzeń;1;Dostawcze;fotoradar;FALSE;21
Opatów;1;Dostawcze;fotoradar;FALSE;68
Ostrów Wielkopolski;1;Dostawcze;fotoradar;FALSE;26
Ostrówek;1;Dostawcze;fotoradar;FALSE;82
Ożarów;1;Dostawcze;fotoradar;FALSE;66
Pawłowice;1;Dostawcze;fotoradar;FALSE;30
Polichna;1;Dostawcze;fotoradar;FALSE;82
Przasnysz;1;Dostawcze;fotoradar;FALSE;0
Przerzeczyn Zdrój;1;Dostawcze;fotoradar;FALSE;77
Przytoczno;1;Dostawcze;fotoradar;FALSE;79
Samborowo;1;Dostawcze;fotoradar;FALSE;17
Sławno;1;Dostawcze;fotoradar;FALSE;97
Słupca;1;Dostawcze;fotoradar;FALSE;80
Smolice;1;Dostawcze;fotoradar;FALSE;86
Wilczowola;1;Dostawcze;fotoradar;FALSE;68
Zbydniów;1;Dostawcze;fotoradar;FALSE;92
Żarnowo Drugie;1;Dostawcze;fotoradar;FALSE;46
Żukowo;1;Dostawcze;fotoradar;FALSE;60
Aleksandrów;1;Ciężarowe;fotoradar;FALSE;95
Boćki;1;Ciężarowe;fotoradar;FALSE;44
Bratian;1;Ciężarowe;fotoradar;FALSE;61
Cielcza;1;Ciężarowe;fotoradar;FALSE;63
Czerwińsk nad Wisłą;1;Ciężarowe;fotoradar;FALSE;70
Domaradz;1;Ciężarowe;fotoradar;FALSE;72
Egiertowo;1;Ciężarowe;fotoradar;FALSE;36
Gniechowice;1;Ciężarowe;fotoradar;FALSE;54
Jedlińsk;1;Ciężarowe;fotoradar;FALSE;42
Kleczanów;1;Ciężarowe;fotoradar;FALSE;77
Kozienice;1;Ciężarowe;fotoradar;FALSE;18
Kraczkowa;1;Ciężarowe;fotoradar;FALSE;69
Libidza;1;Ciężarowe;fotoradar;FALSE;74
Lubień;1;Ciężarowe;fotoradar;FALSE;94
Lubliniec;1;Ciężarowe;fotoradar;FALSE;74
Łąck;1;Ciężarowe;fotoradar;FALSE;78
Łuszczów Pierwszy;1;Ciężarowe;fotoradar;FALSE;67
Małkowo;1;Ciężarowe;fotoradar;FALSE;89
Mniów;1;Ciężarowe;fotoradar;FALSE;94
Mokrzeszów;1;Ciężarowe;fotoradar;FALSE;44
Nowa Wieś;1;Ciężarowe;fotoradar;FALSE;62
Nowy Targ;1;Ciężarowe;fotoradar;FALSE;84
Ojrzeń;1;Ciężarowe;fotoradar;FALSE;22
Opatów;1;Ciężarowe;fotoradar;FALSE;61
Ostrów Wielkopolski;1;Ciężarowe;fotoradar;FALSE;27
Ostrówek;1;Ciężarowe;fotoradar;FALSE;82
Ożarów;1;Ciężarowe;fotoradar;FALSE;68
