city;measurement;time;type;stat;kind;radar;speed
Aleksandrów;1;dzien;Jednoślady;Max;fotoradar;FALSE;94
Boćki;1;dzien;Jednoślady;Max;fotoradar;FALSE;71
Bratian;1;dzien;Jednoślady;Max;fotoradar;FALSE;77
Cielcza;1;dzien;Jednoślady;Max;fotoradar;FALSE;61
Czerwińsk nad Wisłą;1;dzien;Jednoślady;Max;fotoradar;FALSE;77
Domaradz;1;dzien;Jednoślady;Max;fotoradar;FALSE;95
Egiertowo;1;dzien;Jednoślady;Max;fotoradar;FALSE;67
Gniechowice;1;dzien;Jednoślady;Max;fotoradar;FALSE;111
Jedlińsk;1;dzien;Jednoślady;Max;fotoradar;FALSE;101
Kleczanów;1;dzien;Jednoślady;Max;fotoradar;FALSE;103
Kozienice;1;dzien;Jednoślady;Max;fotoradar;FALSE;49
Kraczkowa;1;dzien;Jednoślady;Max;fotoradar;FALSE;98
Libidza;1;dzien;Jednoślady;Max;fotoradar;FALSE;81
Lubień;1;dzien;Jednoślady;Max;fotoradar;FALSE;81
Lubliniec;1;dzien;Jednoślady;Max;fotoradar;FALSE;93
Łąck;1;dzien;Jednoślady;Max;fotoradar;FALSE;81
Łuszczów Pierwszy;1;dzien;Jednoślady;Max;fotoradar;FALSE;66
Małkowo;1;dzien;Jednoślady;Max;fotoradar;FALSE;127
Mniów;1;dzien;Jednoślady;Max;fotoradar;FALSE;77
Mokrzeszów;1;dzien;Jednoślady;Max;fotoradar;FALSE;75
Nowa Wieś;1;dzien;Jednoślady;Max;fotoradar;FALSE;60
Nowy Targ;1;dzien;Jednoślady;Max;fotoradar;FALSE;77
Ojrzeń;1;dzien;Jednoślady;Max;fotoradar;FALSE;64
Opatów;1;dzien;Jednoślady;Max;fotoradar;FALSE;89
Ostrów Wielkopolski;1;dzien;Jednoślady;Max;fotoradar;FALSE;64
Ostrówek;1;dzien;Jednoślady;Max;fotoradar;FALSE;67
Ożarów;1;dzien;Jednoślady;Max;fotoradar;FALSE;55
Pawłowice;1;dzien;Jednoślady;Max;fotoradar;FALSE;69
Polichna;1;dzien;Jednoślady;Max;fotoradar;FALSE;76
Przasnysz;1;dzien;Jednoślady;Max;fotoradar;FALSE;70
Przerzeczyn Zdrój;1;dzien;Jednoślady;Max;fotoradar;FALSE;53
Przytoczno;1;dzien;Jednoślady;Max;fotoradar;FALSE;78
Samborowo;1;dzien;Jednoślady;Max;fotoradar;FALSE;54
Sławno;1;dzien;Jednoślady;Max;fotoradar;FALSE;144
Słupca;1;dzien;Jednoślady;Max;fotoradar;FALSE;67
Smolice;1;dzien;Jednoślady;Max;fotoradar;FALSE;82
Wilczowola;1;dzien;Jednoślady;Max;fotoradar;FALSE;56
Zbydniów;1;dzien;Jednoślady;Max;fotoradar;FALSE;70
Żarnowo Drugie;1;dzien;Jednoślady;Max;fotoradar;FALSE;63
